Name,Link,Skills,Rating
Big Data Processing Using Hadoop,https://www.coursera.org/specializations/big-data-processing-using-hadoop,"Analytics, Big Data, Data Infrastructure, Data Management, Data Manipulation, Data Processing, Data Science, Data Structures, Databases, Distributed Computing, File Systems, Java, Performance Tuning, Scripting Languages, SQL",4.5
GPT Vision: Seeing the World through Generative AI,https://www.coursera.org/learn/gpt-vision,"Artificial Intelligence, Photography, Organizational Skills, Cooking, Image Analysis, Data Storytelling, Computer Vision, Expense Management, Social Media Content, Project Controls, Expense Reports",4.8
Stanford Introduction to Food and Health,https://www.coursera.org/learn/food-and-health,"Chronic Diseases, Nutrition and Diet, Behavior Management, Health Education, Public Health, Health Informatics, Meal Planning And Preparation, Health Promotion, Cultural Diversity, Cooking",4.7
Mastering Concrete Techniques,https://www.coursera.org/specializations/mastering-concrete-techniques,"Analytical Testing, Chemistry, Civil Engineering, Construction, Construction Engineering, Construction Inspection, Construction Management, Engineering Plans And Specifications, Laboratory Testing, Manufacturing Operations, Manufacturing Processes, Manufacturing Standards, Materials science, Plant Operations and Management, Product Testing, Production Process, Safety Assurance, Structural Engineering, Sustainable Engineering, Water Quality",4.9
The Science of Gastronomy,https://www.coursera.org/learn/gastronomy,"Chemistry, Aesthetics, Physiology, Biochemistry, Psychology, Food and Beverage, Color Theory, Meal Planning And Preparation, Cooking, Physics, Nutrition and Diet",4.6
Food and Wine Pairing,https://www.coursera.org/learn/food-wine-pairing,"Planning, Oral Expression, Hospitality, Bartending, Meal Planning And Preparation, Verbal Communication Skills, Cooking, Strategic Planning",4.9
Research kitchen,https://www.coursera.org/learn/research-kitchen,"Organizational Structure, Competitive Analysis, Business Strategies, Presentations, Case Studies, Innovation, Strategic Thinking, Business Strategy, Research, Business Research, Organizational Strategy",4.5
"Food Sustainability, Mindful Eating, and Healthy Cooking",https://www.coursera.org/specializations/food-sustainability-mindful-eating-healthy-cooking,"Adaptability, Behavioral Health, Climate Change Mitigation, Compassion, Cooking, Cultural Diversity, Environment, Environmental Science, Food and Beverage, Meal Planning And Preparation, Mindfulness, Nutrition and Diet, Pollution Prevention, Resourcefulness, Self-Awareness, Sustainability Standards, Sustainable Development, Sustainable Technologies, Waste Minimization, Water Sustainability",4.8
Child Nutrition and Cooking,https://www.coursera.org/learn/childnutrition,"Working With Children, Food Safety and Sanitation, Nutrition and Diet, Cooking, Food Quality Assurance And Control, Environmental Issue, Meal Planning And Preparation, Nutrition Education, Pediatrics, Parent Communication",4.8
Cooking for Busy Healthy People,https://www.coursera.org/learn/cooking-healthy-food,"Resourcefulness, Innovation, Meal Planning And Preparation, Food and Beverage, Cooking, Adaptability, Nutrition and Diet",4.6
Google Cybersecurity Certificate,https://www.coursera.org/professional-certificates/google-cybersecurity,"Cloud Security, Computer Security Incident Management, Cyber Attacks, Cybersecurity, Debugging, Hardening, Incident Response, Interviewing Skills, Intrusion Detection and Prevention, Network Protocols, Network Security, Security Management, SQL, Threat Detection, Threat Management, Threat Modeling, Vulnerability Management",4.8
The Meat We Eat,https://www.coursera.org/learn/meat-we-eat,"Manufacturing Processes, Food Quality Assurance And Control, Cooking, Nutrition and Diet, Environment and Resource Management, Manufacturing and Production, Ethical Standards And Conduct, Sustainability Standards, Food Safety and Sanitation, Food and Beverage",4.7
Configure and Automate Infrastructure with Chef,https://www.coursera.org/learn/configure-automate-infrastructure-with-chef,"Systems Administration, IT Automation, Servers, Cloud Computing, Scalability",
Google Data Analytics Certificate,https://www.coursera.org/professional-certificates/google-data-analytics,"Data Analysis, Data Cleansing, Data Ethics, Data Literacy, Data Presentation, Data Storytelling, Data Structures, Data Validation, Interviewing Skills, Object Oriented Programming (OOP), Presentations, Sampling (Statistics), Spreadsheet Software, Tableau Software, Data Visualization",4.8
Google IT Support Certificate,https://www.coursera.org/professional-certificates/google-it-support,"Computer Hardware, Computer Networking, File Systems, Interviewing Skills, IT Automation, IT Infrastructure, IT Security Architecture, Network Administration, Network Security, Network Troubleshooting, Operating System Administration, Package and Software Management, Systems Administration, TCP/IP, Technical Support, Version Control",4.8
Machine Learning Certificate,https://www.coursera.org/specializations/machine-learning-introduction,"Applied Machine Learning, Artificial Intelligence, Data Ethics, Data Preprocessing, Decision Tree Learning, Deep Learning, Feature Engineering, Machine Learning, Model Evaluation, Predictive Modeling, Random Forest Algorithm, Reinforcement Learning, Supervised Learning, Transfer Learning, Unsupervised Learning",4.9
IBM Data Analyst Certificate,https://www.coursera.org/professional-certificates/ibm-data-analyst,"Data Analysis, Data Import/Export, Data Manipulation, Data Presentation, Data Storytelling, Data Transformation, Data Visualization Software, Excel Formulas, Exploratory Data Analysis, IBM Cognos Analytics, Interactive Data Visualization, Professional Networking, SQL, Data Visualization, Web Scraping",4.6
Google UX Design Certificate,https://www.coursera.org/professional-certificates/google-ux-design,"Design Reviews, Design Thinking, Information Architecture, Interviewing Skills, Mobile Development, Persona (User Experience), Presentations, Responsive Web Design, Storyboarding, UI/UX Research, Usability Testing, User Experience, User Experience Design, User Research, User Story, Web Content Accessibility Guidelines, Web Design, Wireframing",4.8
IBM Data Science Certificate,https://www.coursera.org/professional-certificates/ibm-data-science,"Data Analysis, Data Import/Export, Data Literacy, Data Manipulation, Data Presentation, Data Storytelling, Data Visualization Software, Exploratory Data Analysis, Interactive Data Visualization, Model Evaluation, Professional Networking, SQL, Supervised Learning, Unsupervised Learning, Data Visualization, Web Scraping",4.6
Google Project Management Certificate,https://www.coursera.org/professional-certificates/google-project-management,"Agile Project Management, Backlogs, Change Management, Interviewing Skills, Project Closure, Project Controls, Project Implementation, Project Management, Project Management Life Cycle, Project Planning, Project Risk Management, Project Scoping, Quality Assurance, Quality Management, Scope Management, Sprint Retrospectives, Stakeholder Analysis, Team Leadership, Team Management",4.8
Microsoft Power BI Data Analyst Certificate,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst,"Advanced Analytics, Business Analytics, Business Intelligence, Data Analysis, Data Collection, Data Integrity, Data Manipulation, Data Processing, Data Quality, Data Storage, Data Warehousing, Database Design, Report Writing, SQL, Statistical Reporting, Timelines, Data Visualization",4.6
UI / UX Design Certificate,https://www.coursera.org/specializations/ui-ux-design,"Design, Design Elements And Principles, Graphic and Visual Design, Information Architecture, Interaction Design, Mockups, Persona (User Experience), Prototyping, Responsive Web Design, UI/UX Strategy, User Centered Design, User Experience, User Experience Design, User Interface and User Experience (UI/UX) Design, User Interface (UI) Design, User Research, Web Design, Wireframing",4.7
